Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
163A,C14710,LAFARGE NORTH AMERICA INC.,"$5,092,875.68","$5,312,040.75","-$219,165.07",-4.13%,0,2/17/2005
257A,C14710,SIMON CONTRACTORS,"$5,086,991.31","$5,312,040.75","-$225,049.44",-4.24%,0,2/17/2005
329A,C14710,"WESTERN ENGINEERING COMPANY, INC. DBA WECO INC.","$5,045,469.85","$5,312,040.75","-$266,570.90",-5.02%,1,2/17/2005
,C14710 Average,,,,"$15,161.81",0.29%,,
1282A,C14819,"AMERICAN WEST CONSTRUCTION, LLC","$895,886.05","$924,293.00","-$28,406.95",-3.07%,0,2/17/2005
1275A,C14819,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$845,714.28","$924,293.00","-$78,578.72",-8.50%,1,2/17/2005
692A,C14819,NEW DESIGN CONSTRUCTION COMPANY,"$930,893.00","$924,293.00","$6,600.00",0.71%,0,2/17/2005
S3452,C14819,"PAVETEC, INC.","$965,270.36","$924,293.00","$40,977.36",4.43%,0,2/17/2005
,C14819 Average,,,,"-$14,852.08",-1.61%,,
1098A,C14974,DKS ENTERPRISES INC.,"$132,616.50","$139,551.00","-$6,934.50",-4.97%,0,2/17/2005
503F,C14974,K.E.C.I. COLORADO INCORPORATED,"$134,063.00","$139,551.00","-$5,488.00",-3.93%,0,2/17/2005
720A,C14974,"STURGEON ELECTRIC COMPANY, INC.","$129,752.50","$139,551.00","-$9,798.50",-7.02%,1,2/17/2005
697A,C14974,"W.L. CONTRACTORS, INC.","$161,430.00","$139,551.00","$21,879.00",15.68%,0,2/17/2005
,C14974 Average,,,,-$85.50,-0.06%,,
1098A,C15074,DKS ENTERPRISES INC.,"$449,882.50","$434,405.00","$15,477.50",3.56%,1,2/17/2005
1095A,C15074,"DOUBLE E, INC. DBA ELECTRICAL EXCELLENCE ENTERPRISES","$563,208.22","$434,405.00","$128,803.22",29.65%,0,2/17/2005
1235A,C15074,"INTEGRATED ELECTRIC, INC.","$476,322.80","$434,405.00","$41,917.80",9.65%,0,2/17/2005
503F,C15074,K.E.C.I. COLORADO INCORPORATED,"$503,246.00","$434,405.00","$68,841.00",15.85%,0,2/17/2005
720A,C15074,"STURGEON ELECTRIC COMPANY, INC.","$458,220.20","$434,405.00","$23,815.20",5.48%,0,2/17/2005
697A,C15074,"W.L. CONTRACTORS, INC.","$455,928.25","$434,405.00","$21,523.25",4.95%,0,2/17/2005
,C15074 Average,,,,"$50,063.00",11.52%,,
005A,C15162,A and S CONSTRUCTION CO.,"$3,943,515.25","$3,587,388.00","$356,127.25",9.93%,1,2/17/2005
505A,C15162,D.G. HUSKIN CONSTRUCTION CO.,"$3,968,998.55","$3,587,388.00","$381,610.55",10.64%,0,2/17/2005
163A,C15162,LAFARGE NORTH AMERICA INC.,"$3,958,839.72","$3,587,388.00","$371,451.72",10.35%,0,2/17/2005
,C15162 Average,,,,"$369,729.84",10.31%,,
1057A,C15175,A-1 CHIPSEAL COMPANY,"$217,712.00","$192,106.85","$25,605.15",13.33%,1,2/17/2005
621A,C15175,GMCO LIMITED LIABILITY COMPANY OF COLORADO,"$248,782.95","$192,106.85","$56,676.10",29.50%,0,2/17/2005
,C15175 Average,,,,"$41,140.63",21.42%,,
1098A,MM3023,DKS ENTERPRISES INC.,"$93,859.50","$132,118.00","-$38,258.50",-28.96%,0,2/17/2005
982A,MM3023,"WARNING LITES & EQUIPMENT, INCORPORATED","$85,898.00","$132,118.00","-$46,220.00",-34.98%,1,2/17/2005
,MM3023 Average,,,,"-$42,239.25",-31.97%,,
060A,MM6055,"HIGHWAY TECHNOLOGIES, INC.","$804,950.00","$575,750.00","$229,200.00",39.81%,0,2/17/2005
162A,MM6055,KOLBE STRIPING INCORPORATED,"$565,005.00","$575,750.00","-$10,745.00",-1.87%,1,2/17/2005
,MM6055 Average,,,,"$109,227.50",18.97%,,
005A,C14211,A and S CONSTRUCTION CO.,"$1,223,297.40","$1,264,619.75","-$41,322.35",-3.27%,0,2/24/2005
159C,C14211,KIEWIT WESTERN CO.,"$1,446,790.20","$1,264,619.75","$182,170.45",14.41%,0,2/24/2005
