Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
,C15320 Average,,,,"$713,461.94",14.21%,,
005A,C15517,A and S CONSTRUCTION CO.,,"$4,419,528.24","-$4,419,528.24",0.00%,0,2/9/2006
232A,C15517,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West",,"$4,419,528.24","-$4,419,528.24",0.00%,0,2/9/2006
668A,C15517,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$5,752,632.25","$4,419,528.24","$1,333,104.01",30.16%,0,2/9/2006
091A,C15517,ELAM CONSTRUCTION INCORPORATED,,"$4,419,528.24","-$4,419,528.24",0.00%,0,2/9/2006
503F,C15517,K.E.C.I. COLORADO INCORPORATED,,"$4,419,528.24","-$4,419,528.24",0.00%,0,2/9/2006
159C,C15517,KIEWIT WESTERN CO.,"$6,163,763.45","$4,419,528.24","$1,744,235.21",39.47%,0,2/9/2006
163C,C15517,LAFARGE dba WESTERN MOBILE SOUTHERN,,"$4,419,528.24","-$4,419,528.24",0.00%,0,2/9/2006
547A,C15517,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY",,"$4,419,528.24","-$4,419,528.24",0.00%,0,2/9/2006
701A,C15517,"ROCKY MOUNTAIN MATERIALS AND ASPHALT, INC.","$5,198,924.79","$4,419,528.24","$779,396.55",17.64%,1,2/9/2006
903A,C15517,"TLM CONSTRUCTORS, INC.",,"$4,419,528.24","-$4,419,528.24",0.00%,0,2/9/2006
,C15517 Average,,,,"-$2,707,996.19",8.73%,,
1231A,C15543,INTERFACE COMMUNICATIONS COMPANY,"$355,247.78","$443,435.00","-$88,187.22",-19.89%,1,2/9/2006
503F,C15543,K.E.C.I. COLORADO INCORPORATED,"$396,137.00","$443,435.00","-$47,298.00",-10.67%,0,2/9/2006
908A,C15543,POWER ELECTRIC COMPANY,"$398,351.76","$443,435.00","-$45,083.24",-10.17%,0,2/9/2006
061A,C15543,"ROCKY MOUNTAIN ENTERPRISES, INC.","$359,626.00","$443,435.00","-$83,809.00",-18.90%,0,2/9/2006
720A,C15543,"STURGEON ELECTRIC COMPANY, INC.","$413,942.50","$443,435.00","-$29,492.50",-6.65%,0,2/9/2006
697A,C15543,"W.L. CONTRACTORS, INC.","$418,354.00","$443,435.00","-$25,081.00",-5.66%,0,2/9/2006
,C15543 Average,,,,"-$53,158.49",-11.99%,,
868A,MM5047,"ARROW ELECTRIC SERVICE, INC.",,"$192,286.00","-$192,286.00",0.00%,0,2/9/2006
807A,MM5047,ASPHALT CONSTRUCTORS INCORPORATED,,"$192,286.00","-$192,286.00",0.00%,0,2/9/2006
1098A,MM5047,DKS ENTERPRISES INC.,,"$192,286.00","-$192,286.00",0.00%,0,2/9/2006
1235A,MM5047,"INTEGRATED ELECTRIC, INC.","$260,937.81","$192,286.00","$68,651.81",35.70%,0,2/9/2006
061A,MM5047,"ROCKY MOUNTAIN ENTERPRISES, INC.","$192,872.00","$192,286.00",$586.00,0.30%,1,2/9/2006
720A,MM5047,"STURGEON ELECTRIC COMPANY, INC.","$275,463.00","$192,286.00","$83,177.00",43.26%,0,2/9/2006
S0458,MM5047,VALLEY ELECTRIC,,"$192,286.00","-$192,286.00",0.00%,0,2/9/2006
918A,MM5047,"VAN IWAARDEN BUILDERS, INC.",,"$192,286.00","-$192,286.00",0.00%,0,2/9/2006
697A,MM5047,"W.L. CONTRACTORS, INC.",,"$192,286.00","-$192,286.00",0.00%,0,2/9/2006
,MM5047 Average,,,,"-$111,255.69",8.81%,,
005A,C14347,A and S CONSTRUCTION CO.,"$3,137,674.80","$2,507,352.50","$630,322.30",25.14%,0,2/16/2006
232A,C14347,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$2,885,048.00","$2,507,352.50","$377,695.50",15.06%,0,2/16/2006
,C14347 Average,,,,"$504,008.90",20.10%,,
005A,C14863,A and S CONSTRUCTION CO.,"$2,385,708.30","$2,211,227.75","$174,480.55",7.89%,0,2/16/2006
027A,C14863,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$2,570,509.82","$2,211,227.75","$359,282.07",16.25%,0,2/16/2006
091A,C14863,ELAM CONSTRUCTION INCORPORATED,,"$2,211,227.75","-$2,211,227.75",0.00%,0,2/16/2006
073A,C14863,FISHER SAND & GRAVEL CO.  dba SOUTHWEST ASPHALT PAVING,,"$2,211,227.75","-$2,211,227.75",0.00%,0,2/16/2006
159C,C14863,KIEWIT WESTERN CO.,,"$2,211,227.75","-$2,211,227.75",0.00%,0,2/16/2006
245B,C14863,"NIELSONS SKANSKA, INCORPORATED",,"$2,211,227.75","-$2,211,227.75",0.00%,0,2/16/2006
547C,C14863,OLDCASTLE SW GROUP INC. dba FOUR CORNER MATERIALS,"$2,132,316.90","$2,211,227.75","-$78,910.85",-3.57%,1,2/16/2006
,C14863 Average,,,,"-$1,198,579.89",2.94%,,
232A,C15195,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$3,819,931.00","$3,967,487.00","-$147,556.00",-3.72%,1,2/16/2006
017A,C15195,ASPHALT PAVING CO.,"$4,465,303.40","$3,967,487.00","$497,816.40",12.55%,0,2/16/2006
159C,C15195,KIEWIT WESTERN CO.,"$4,383,249.50","$3,967,487.00","$415,762.50",10.48%,0,2/16/2006
,C15195 Average,,,,"$255,340.97",6.44%,,
091A,C15321,ELAM CONSTRUCTION INCORPORATED,"$2,340,768.00","$1,446,260.75","$894,507.25",61.85%,0,2/16/2006
503F,C15321,K.E.C.I. COLORADO INCORPORATED,"$2,193,951.50","$1,446,260.75","$747,690.75",51.70%,0,2/16/2006
,C15321 Average,,,,"$821,099.00",56.77%,,
005A,MM5048,A and S CONSTRUCTION CO.,,"$930,860.00","-$930,860.00",0.00%,0,2/16/2006
027A,MM5048,"APC SOUTHERN CONSTRUCTION COMPANY, LLC",,"$930,860.00","-$930,860.00",0.00%,0,2/16/2006
091A,MM5048,ELAM CONSTRUCTION INCORPORATED,,"$930,860.00","-$930,860.00",0.00%,0,2/16/2006
073A,MM5048,FISHER SAND & GRAVEL CO.  dba SOUTHWEST ASPHALT PAVING,,"$930,860.00","-$930,860.00",0.00%,0,2/16/2006
547C,MM5048,OLDCASTLE SW GROUP INC. dba FOUR CORNER MATERIALS,"$913,989.30","$930,860.00","-$16,870.70",-1.81%,1,2/16/2006
,MM5048 Average,,,,"-$748,062.14",-0.36%,,
017A,C14614,ASPHALT PAVING CO.,"$4,979,844.48","$3,982,049.00","$997,795.48",25.06%,0,3/2/2006
032B,C14614,BRANNAN CONSTRUCTION COMPANY,,"$3,982,049.00","-$3,982,049.00",0.00%,0,3/2/2006
032A,C14614,"BRANNAN SAND AND GRAVEL, LLC","$3,176,939.60","$3,982,049.00","-$805,109.40",-20.22%,1,3/2/2006
159C,C14614,KIEWIT WESTERN CO.,"$4,655,700.70","$3,982,049.00","$673,651.70",16.92%,0,3/2/2006
163A,C14614,LAFARGE NORTH AMERICA INC.,"$3,797,118.04","$3,982,049.00","-$184,930.96",-4.64%,0,3/2/2006
,C14614 Average,,,,"-$660,128.44",3.42%,,
032A,C14615,"BRANNAN SAND AND GRAVEL, LLC","$1,817,381.45","$1,745,685.00","$71,696.45",4.11%,1,3/2/2006
503F,C14615,K.E.C.I. COLORADO INCORPORATED,"$2,139,504.00","$1,745,685.00","$393,819.00",22.56%,0,3/2/2006
159C,C14615,KIEWIT WESTERN CO.,"$2,693,460.10","$1,745,685.00","$947,775.10",54.29%,0,3/2/2006
163A,C14615,LAFARGE NORTH AMERICA INC.,"$2,209,049.64","$1,745,685.00","$463,364.64",26.54%,0,3/2/2006
,C14615 Average,,,,"$469,163.80",26.88%,,
017A,C14633,ASPHALT PAVING CO.,"$3,851,651.90","$3,438,956.00","$412,695.90",12.00%,0,3/2/2006
032A,C14633,"BRANNAN SAND AND GRAVEL, LLC","$3,260,892.51","$3,438,956.00","-$178,063.49",-5.18%,1,3/2/2006
065A,C14633,CONCRETE WORKS OF COLORADO INCORPORATED,"$3,832,614.00","$3,438,956.00","$393,658.00",11.45%,0,3/2/2006
159C,C14633,KIEWIT WESTERN CO.,"$4,225,454.00","$3,438,956.00","$786,498.00",22.87%,0,3/2/2006
163A,C14633,LAFARGE NORTH AMERICA INC.,"$4,082,958.20","$3,438,956.00","$644,002.20",18.73%,0,3/2/2006
S2881,C14633,"PREMIER PAVING, INC.","$3,885,912.75","$3,438,956.00","$446,956.75",13.00%,0,3/2/2006
,C14633 Average,,,,"$417,624.56",12.14%,,
164A,C14777,EDWARD KRAEMER AND SONS INCORPORATED,"$7,287,117.00","$7,173,926.55","$113,190.45",1.58%,0,3/2/2006
099H,C14777,"FLATIRON CONSTRUCTORS,  INC.","$6,601,236.02","$7,173,926.55","-$572,690.53",-7.98%,1,3/2/2006
884A,C14777,"HAMON INFRASTRUCTURE, INC.","$6,982,088.11","$7,173,926.55","-$191,838.44",-2.67%,0,3/2/2006
696A,C14777,"JALISCO INTERNATIONAL, INC.","$7,143,253.46","$7,173,926.55","-$30,673.09",-0.43%,0,3/2/2006
169A,C14777,LAWRENCE CONSTRUCTION COMPANY,"$8,178,757.84","$7,173,926.55","$1,004,831.29",14.01%,0,3/2/2006
692A,C14777,NEW DESIGN CONSTRUCTION COMPANY,"$7,399,655.23","$7,173,926.55","$225,728.68",3.15%,0,3/2/2006
870A,C14777,"SEMA CONSTRUCTION, INC.","$7,588,888.00","$7,173,926.55","$414,961.45",5.78%,0,3/2/2006
,C14777 Average,,,,"$137,644.26",1.92%,,
091A,C15067A,ELAM CONSTRUCTION INCORPORATED,"$4,794,523.30","$3,768,543.68","$1,025,979.62",27.22%,0,3/2/2006
159C,C15067A,KIEWIT WESTERN CO.,"$4,245,564.20","$3,768,543.68","$477,020.52",12.66%,0,3/2/2006
,C15067A Average,,,,"$751,500.07",19.94%,,
091A,C15067B,ELAM CONSTRUCTION INCORPORATED,"$4,351,575.30","$3,393,708.18","$957,867.12",28.22%,0,3/2/2006
159C,C15067B,KIEWIT WESTERN CO.,"$3,861,070.20","$3,393,708.18","$467,362.02",13.77%,0,3/2/2006
,C15067B Average,,,,"$712,614.57",21.00%,,
668A,C15148,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$1,395,084.77","$1,088,469.95","$306,614.82",28.17%,1,3/2/2006
159C,C15148,KIEWIT WESTERN CO.,"$1,488,407.50","$1,088,469.95","$399,937.55",36.74%,0,3/2/2006
163A,C15148,LAFARGE NORTH AMERICA INC.,"$1,636,788.93","$1,088,469.95","$548,318.98",50.38%,0,3/2/2006
701A,C15148,"ROCKY MOUNTAIN MATERIALS AND ASPHALT, INC.","$1,403,347.30","$1,088,469.95","$314,877.35",28.93%,0,3/2/2006
,C15148 Average,,,,"$392,437.18",36.05%,,
005A,C15159,A and S CONSTRUCTION CO.,"$8,267,002.50","$6,534,930.20","$1,732,072.30",26.50%,0,3/2/2006
017A,C15159,ASPHALT PAVING CO.,"$8,186,687.46","$6,534,930.20","$1,651,757.26",25.28%,0,3/2/2006
073A,C15159,FISHER SAND & GRAVEL CO.  dba SOUTHWEST ASPHALT PAVING,"$7,864,907.23","$6,534,930.20","$1,329,977.03",20.35%,0,3/2/2006
159C,C15159,KIEWIT WESTERN CO.,"$9,453,622.90","$6,534,930.20","$2,918,692.70",44.66%,0,3/2/2006
163A,C15159,LAFARGE NORTH AMERICA INC.,"$7,804,149.11","$6,534,930.20","$1,269,218.91",19.42%,0,3/2/2006
,C15159 Average,,,,"$1,780,343.64",27.24%,,
1098A,C15489,DKS ENTERPRISES INC.,"$121,718.00","$105,530.00","$16,188.00",15.34%,0,3/2/2006
503F,C15489,K.E.C.I. COLORADO INCORPORATED,"$85,602.00","$105,530.00","-$19,928.00",-18.88%,0,3/2/2006
908A,C15489,POWER ELECTRIC COMPANY,"$80,122.17","$105,530.00","-$25,407.83",-24.08%,1,3/2/2006
061A,C15489,"ROCKY MOUNTAIN ENTERPRISES, INC.","$103,352.00","$105,530.00","-$2,178.00",-2.06%,0,3/2/2006
697A,C15489,"W.L. CONTRACTORS, INC.","$95,860.00","$105,530.00","-$9,670.00",-9.16%,0,3/2/2006
,C15489 Average,,,,"-$8,199.17",-7.77%,,
005A,C14087,A and S CONSTRUCTION CO.,,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
1089A,C14087,ACA PRODUCTS INC.,,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
011A,C14087,AMES CONSTRUCTION INCORPORATED,,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
164A,C14087,EDWARD KRAEMER AND SONS INCORPORATED,"$1,176,774.69","$1,218,114.20","-$41,339.51",-3.39%,0,3/9/2006
099H,C14087,"FLATIRON CONSTRUCTORS,  INC.","$986,717.70","$1,218,114.20","-$231,396.50",-19.00%,1,3/9/2006
090A,C14087,INTERSTATE HIGHWAY CONSTRUCTION,,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
159C,C14087,KIEWIT WESTERN CO.,,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
160A,C14087,"KIRKLAND CONSTRUCTION, L.L.L.P.",,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
107C,C14087,KNJ INCORPORATED,,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
562A,C14087,"NEATLINE STRUCTURES, INC.",,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
1079A,C14087,REYNOLDS WATSON COMPANY (THE),,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
476A,C14087,"SLV EARTH MOVERS, INC.","$1,338,081.49","$1,218,114.20","$119,967.29",9.85%,0,3/9/2006
279A,C14087,"TEZAK HEAVY EQUIPMENT CO., INC.",,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
632A,C14087,TIERDAEL CONSTRUCTION COMPANY,,"$1,218,114.20","-$1,218,114.20",0.00%,0,3/9/2006
903A,C14087,"TLM CONSTRUCTORS, INC.","$1,313,699.50","$1,218,114.20","$95,585.30",7.85%,0,3/9/2006
055A,C14087,"TRICON 2, LLC","$1,352,534.05","$1,218,114.20","$134,419.85",11.04%,0,3/9/2006
801A,C14087,ZAK DIRT INCORPORATED,"$1,153,389.15","$1,218,114.20","-$64,725.05",-5.31%,0,3/9/2006
,C14087 Average,,,,"-$787,455.58",0.06%,,
503F,C15111,K.E.C.I. COLORADO INCORPORATED,"$1,346,617.25","$1,028,955.50","$317,661.75",30.87%,0,3/9/2006
,C15111 Average,,,,"$317,661.75",30.87%,,
796A,C15154,DEFALCO CONSTRUCTION CO.,"$304,008.11","$348,328.00","-$44,319.89",-12.72%,0,3/9/2006
503F,C15154,K.E.C.I. COLORADO INCORPORATED,"$332,882.00","$348,328.00","-$15,446.00",-4.43%,0,3/9/2006
360A,C15154,"MOUNTAIN CONSTRUCTORS, INC.","$311,372.00","$348,328.00","-$36,956.00",-10.61%,0,3/9/2006
903A,C15154,"TLM CONSTRUCTORS, INC.","$332,115.00","$348,328.00","-$16,213.00",-4.65%,0,3/9/2006
801A,C15154,ZAK DIRT INCORPORATED,"$285,111.25","$348,328.00","-$63,216.75",-18.15%,1,3/9/2006
,C15154 Average,,,,"-$35,230.33",-10.11%,,
005A,C15160,A and S CONSTRUCTION CO.,"$5,437,718.04","$5,190,891.10","$246,826.94",4.76%,0,3/9/2006
027A,C15160,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$5,258,644.63","$5,190,891.10","$67,753.53",1.31%,0,3/9/2006
S0445,C15160,BELTRAMO & SONS INC.,,"$5,190,891.10","-$5,190,891.10",0.00%,0,3/9/2006
668A,C15160,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,,"$5,190,891.10","-$5,190,891.10",0.00%,0,3/9/2006
164A,C15160,EDWARD KRAEMER AND SONS INCORPORATED,,"$5,190,891.10","-$5,190,891.10",0.00%,0,3/9/2006
073A,C15160,FISHER SAND & GRAVEL CO.  dba SOUTHWEST ASPHALT PAVING,,"$5,190,891.10","-$5,190,891.10",0.00%,0,3/9/2006
159C,C15160,KIEWIT WESTERN CO.,"$5,798,023.99","$5,190,891.10","$607,132.89",11.70%,0,3/9/2006
160A,C15160,"KIRKLAND CONSTRUCTION, L.L.L.P.","$5,594,539.09","$5,190,891.10","$403,647.99",7.78%,0,3/9/2006
107C,C15160,KNJ INCORPORATED,,"$5,190,891.10","-$5,190,891.10",0.00%,0,3/9/2006
163C,C15160,LAFARGE dba WESTERN MOBILE SOUTHERN,,"$5,190,891.10","-$5,190,891.10",0.00%,0,3/9/2006
163A,C15160,LAFARGE NORTH AMERICA INC.,"$4,933,605.85","$5,190,891.10","-$257,285.25",-4.96%,1,3/9/2006
701A,C15160,"ROCKY MOUNTAIN MATERIALS AND ASPHALT, INC.",,"$5,190,891.10","-$5,190,891.10",0.00%,0,3/9/2006
,C15160 Average,,,,"-$2,939,013.47",1.71%,,
1098A,C15438,DKS ENTERPRISES INC.,"$516,414.00","$461,497.00","$54,917.00",11.90%,0,3/9/2006
1231A,C15438,INTERFACE COMMUNICATIONS COMPANY,"$586,387.83","$461,497.00","$124,890.83",27.06%,0,3/9/2006
503F,C15438,K.E.C.I. COLORADO INCORPORATED,"$636,560.00","$461,497.00","$175,063.00",37.93%,0,3/9/2006
908A,C15438,POWER ELECTRIC COMPANY,"$558,940.89","$461,497.00","$97,443.89",21.11%,0,3/9/2006
1363A,C15438,"POWER ENGINEERS, INC.","$558,576.29","$461,497.00","$97,079.29",21.04%,0,3/9/2006
720A,C15438,"STURGEON ELECTRIC COMPANY, INC.","$443,623.75","$461,497.00","-$17,873.25",-3.87%,1,3/9/2006
697A,C15438,"W.L. CONTRACTORS, INC.","$513,878.00","$461,497.00","$52,381.00",11.35%,0,3/9/2006
,C15438 Average,,,,"$83,414.54",18.07%,,
009A,C15545,ADARAND CONSTRUCTORS INCORPORATED,"$424,086.65","$382,785.00","$41,301.65",10.79%,0,3/9/2006
074A,C15545,CRUZ CONSTRUCTION INCORPORATED,"$392,973.00","$382,785.00","$10,188.00",2.66%,1,3/9/2006
447A,C15545,IDEAL FENCING CORPORATION,"$410,936.40","$382,785.00","$28,151.40",7.35%,0,3/9/2006
,C15545 Average,,,,"$26,547.02",6.94%,,
060A,M1054,"HIGHWAY TECHNOLOGIES, INC.","$738,917.75","$784,050.00","-$45,132.25",-5.76%,1,3/9/2006
162A,M1054,KOLBE STRIPING INCORPORATED,"$770,745.00","$784,050.00","-$13,305.00",-1.70%,0,3/9/2006
595A,M1054,ROAD SAFE,"$744,747.50","$784,050.00","-$39,302.50",-5.01%,0,3/9/2006
,M1054 Average,,,,"-$32,579.92",-4.16%,,
002A,MM5049,"CACTUS TRANSPORT, INC.","$1,056,446.40","$1,211,343.00","-$154,896.60",-12.79%,0,3/9/2006
621A,MM5049,GMCO LIMITED LIABILITY COMPANY OF COLORADO,"$1,232,786.00","$1,211,343.00","$21,443.00",1.77%,0,3/9/2006
110E,MM5049,"INTERMOUNTAIN SLURRY SEAL, INC.","$1,036,575.00","$1,211,343.00","-$174,768.00",-14.43%,1,3/9/2006
160A,MM5049,"KIRKLAND CONSTRUCTION, L.L.L.P.",,"$1,211,343.00","-$1,211,343.00",0.00%,0,3/9/2006
547C,MM5049,OLDCASTLE SW GROUP INC. dba FOUR CORNER MATERIALS,"$1,181,425.40","$1,211,343.00","-$29,917.60",-2.47%,0,3/9/2006
,MM5049 Average,,,,"-$309,896.44",-5.58%,,
005A,C14347R,A and S CONSTRUCTION CO.,"$2,727,443.20","$2,450,001.50","$277,441.70",11.32%,0,3/16/2006
232A,C14347R,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$2,873,763.00","$2,450,001.50","$423,761.50",17.30%,0,3/16/2006
159C,C14347R,KIEWIT WESTERN CO.,"$2,530,719.40","$2,450,001.50","$80,717.90",3.29%,1,3/16/2006
,C14347R Average,,,,"$260,640.37",10.64%,,
1098A,C15104,DKS ENTERPRISES INC.,"$122,972.00","$133,425.00","-$10,453.00",-7.83%,1,3/16/2006
1235A,C15104,"INTEGRATED ELECTRIC, INC.","$143,325.36","$133,425.00","$9,900.36",7.42%,0,3/16/2006
720A,C15104,"STURGEON ELECTRIC COMPANY, INC.","$124,839.00","$133,425.00","-$8,586.00",-6.44%,0,3/16/2006
697A,C15104,"W.L. CONTRACTORS, INC.","$129,575.25","$133,425.00","-$3,849.75",-2.89%,0,3/16/2006
,C15104 Average,,,,"-$3,247.10",-2.43%,,
005A,C15217,A and S CONSTRUCTION CO.,,"$548,514.00","-$548,514.00",0.00%,0,3/16/2006
905A,C15217,"ABCO CONTRACTING, INC.",,"$548,514.00","-$548,514.00",0.00%,0,3/16/2006
968A,C15217,"COLORADO CONSTRUCTORS, INC.",,"$548,514.00","-$548,514.00",0.00%,0,3/16/2006
S2101,C15217,"D & W CONCRETE, INC.",,"$548,514.00","-$548,514.00",0.00%,0,3/16/2006
164A,C15217,EDWARD KRAEMER AND SONS INCORPORATED,,"$548,514.00","-$548,514.00",0.00%,0,3/16/2006
099H,C15217,"FLATIRON CONSTRUCTORS,  INC.",,"$548,514.00","-$548,514.00",0.00%,0,3/16/2006
562A,C15217,"NEATLINE STRUCTURES, INC.",,"$548,514.00","-$548,514.00",0.00%,0,3/16/2006
903A,C15217,"TLM CONSTRUCTORS, INC.","$596,446.00","$548,514.00","$47,932.00",8.74%,1,3/16/2006
801A,C15217,ZAK DIRT INCORPORATED,,"$548,514.00","-$548,514.00",0.00%,0,3/16/2006
,C15217 Average,,,,"-$482,242.22",0.97%,,
091A,C15320R,ELAM CONSTRUCTION INCORPORATED,"$5,542,648.70","$5,580,150.30","-$37,501.60",-0.67%,1,3/16/2006
159C,C15320R,KIEWIT WESTERN CO.,"$6,083,514.80","$5,580,150.30","$503,364.50",9.02%,0,3/16/2006
,C15320R Average,,,,"$232,931.45",4.17%,,
1098A,MM6065,DKS ENTERPRISES INC.,"$386,400.00","$346,570.00","$39,830.00",11.49%,0,3/16/2006
908A,MM6065,POWER ELECTRIC COMPANY,"$220,384.18","$346,570.00","-$126,185.82",-36.41%,1,3/16/2006
720A,MM6065,"STURGEON ELECTRIC COMPANY, INC.","$350,452.00","$346,570.00","$3,882.00",1.12%,0,3/16/2006
697A,MM6065,"W.L. CONTRACTORS, INC.","$337,886.00","$346,570.00","-$8,684.00",-2.51%,0,3/16/2006
,MM6065 Average,,,,"-$22,789.46",-6.58%,,
865A,C14416,"CONCRETE EXPRESS, INC.","$4,966,921.16","$4,021,899.80","$945,021.36",23.50%,0,3/23/2006
065A,C14416,CONCRETE WORKS OF COLORADO INCORPORATED,"$4,183,697.55","$4,021,899.80","$161,797.75",4.02%,0,3/23/2006
696A,C14416,"JALISCO INTERNATIONAL, INC.","$3,986,113.04","$4,021,899.80","-$35,786.76",-0.89%,0,3/23/2006
692A,C14416,NEW DESIGN CONSTRUCTION COMPANY,"$3,921,892.86","$4,021,899.80","-$100,006.94",-2.49%,1,3/23/2006
870A,C14416,"SEMA CONSTRUCTION, INC.","$4,805,090.48","$4,021,899.80","$783,190.68",19.47%,0,3/23/2006
,C14416 Average,,,,"$350,843.22",8.72%,,
032A,C14617,"BRANNAN SAND AND GRAVEL, LLC","$1,721,275.30","$1,790,865.50","-$69,590.20",-3.89%,1,3/23/2006
159C,C14617,KIEWIT WESTERN CO.,"$1,964,264.00","$1,790,865.50","$173,398.50",9.68%,0,3/23/2006
163A,C14617,LAFARGE NORTH AMERICA INC.,"$2,026,380.15","$1,790,865.50","$235,514.65",13.15%,0,3/23/2006
,C14617 Average,,,,"$113,107.65",6.32%,,
159C,C15067RA,KIEWIT WESTERN CO.,"$4,483,515.20","$4,215,226.18","$268,289.02",6.36%,0,3/23/2006
,C15067RA Average,,,,"$268,289.02",6.36%,,
159C,C15067RB,KIEWIT WESTERN CO.,"$4,083,618.20","$3,918,928.18","$164,690.02",4.20%,1,3/23/2006
,C15067RB Average,,,,"$164,690.02",4.20%,,
1098A,C15207,DKS ENTERPRISES INC.,"$1,078,145.05","$1,261,636.00","-$183,490.95",-14.54%,0,3/23/2006
503F,C15207,K.E.C.I. COLORADO INCORPORATED,"$1,319,099.00","$1,261,636.00","$57,463.00",4.55%,0,3/23/2006
720A,C15207,"STURGEON ELECTRIC COMPANY, INC.","$1,099,109.70","$1,261,636.00","-$162,526.30",-12.88%,0,3/23/2006
697A,C15207,"W.L. CONTRACTORS, INC.","$916,060.80","$1,261,636.00","-$345,575.20",-27.39%,1,3/23/2006
,C15207 Average,,,,"-$158,532.36",-12.57%,,
668A,C15319,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$850,117.00","$811,396.50","$38,720.50",4.77%,0,3/23/2006
503F,C15319,K.E.C.I. COLORADO INCORPORATED,"$753,599.00","$811,396.50","-$57,797.50",-7.12%,1,3/23/2006
159C,C15319,KIEWIT WESTERN CO.,"$823,234.10","$811,396.50","$11,837.60",1.46%,0,3/23/2006
903A,C15319,"TLM CONSTRUCTORS, INC.","$895,469.25","$811,396.50","$84,072.75",10.36%,0,3/23/2006
,C15319 Average,,,,"$19,208.34",2.37%,,
091A,C15321R,ELAM CONSTRUCTION INCORPORATED,"$2,607,566.60","$2,162,134.75","$445,431.85",20.60%,0,3/23/2006
503F,C15321R,K.E.C.I. COLORADO INCORPORATED,"$2,250,763.00","$2,162,134.75","$88,628.25",4.10%,1,3/23/2006
,C15321R Average,,,,"$267,030.05",12.35%,,
017A,C15358,ASPHALT PAVING CO.,"$1,204,160.88","$1,406,669.10","-$202,508.22",-14.40%,1,3/23/2006
032A,C15358,"BRANNAN SAND AND GRAVEL, LLC","$1,428,774.60","$1,406,669.10","$22,105.50",1.57%,0,3/23/2006
159C,C15358,KIEWIT WESTERN CO.,"$1,636,552.90","$1,406,669.10","$229,883.80",16.34%,0,3/23/2006
163A,C15358,LAFARGE NORTH AMERICA INC.,"$1,411,400.37","$1,406,669.10","$4,731.27",0.34%,0,3/23/2006
,C15358 Average,,,,"$13,553.09",0.96%,,
005A,C15392,A and S CONSTRUCTION CO.,,"$249,216.80","-$249,216.80",0.00%,0,3/23/2006
009A,C15392,ADARAND CONSTRUCTORS INCORPORATED,,"$249,216.80","-$249,216.80",0.00%,0,3/23/2006
074A,C15392,CRUZ CONSTRUCTION INCORPORATED,"$249,400.90","$249,216.80",$184.10,0.07%,1,3/23/2006
1109A,C15392,DOUBLE D CONSTRUCTION LLC,,"$249,216.80","-$249,216.80",0.00%,0,3/23/2006
447A,C15392,IDEAL FENCING CORPORATION,,"$249,216.80","-$249,216.80",0.00%,0,3/23/2006
503F,C15392,K.E.C.I. COLORADO INCORPORATED,,"$249,216.80","-$249,216.80",0.00%,0,3/23/2006
721A,C15392,"PRIDEMORE CONSTRUCTION, INC.",,"$249,216.80","-$249,216.80",0.00%,0,3/23/2006
903A,C15392,"TLM CONSTRUCTORS, INC.",,"$249,216.80","-$249,216.80",0.00%,0,3/23/2006
,C15392 Average,,,,"-$218,041.69",0.01%,,
1235A,C15525,"INTEGRATED ELECTRIC, INC.","$137,167.75","$85,860.00","$51,307.75",59.76%,0,3/23/2006
908A,C15525,POWER ELECTRIC COMPANY,"$106,748.65","$85,860.00","$20,888.65",24.33%,0,3/23/2006
061A,C15525,"ROCKY MOUNTAIN ENTERPRISES, INC.","$114,033.00","$85,860.00","$28,173.00",32.81%,0,3/23/2006
720A,C15525,"STURGEON ELECTRIC COMPANY, INC.","$124,697.00","$85,860.00","$38,837.00",45.23%,0,3/23/2006
